3M,555-555-5555,"Macom Drive, DeKalb, Illinois, 60115",-88.7333999,41.9122679,DE KALB,IL
3M,555-555-5555,"State Docks Road Northwest, Huntsville, Morgan, Alabama, 35601",-87.0448328,34.641513,DECATUR,AL
3M,555-555-5555,"Lexington Avenue South, Eagan, Dakota, Minnesota, 55123",-93.1459806,44.8434638,EAGAN,MN
3M,555-555-5555,"North State Street, Fairmont, Martin, Minnesota, 56031",-94.447297,43.6584942,FAIRMONT,MN
3M,555-555-5555,"County Highway B14, Forest City, Hancock, Iowa, 50436",-93.6379187,43.2506103,FOREST CITY,IA
3M,555-555-5555,"Melrose Avenue, Chicago, Cook, Illinois, 60176",-87.8927734,41.9503095,FRANKLIN PAR,IL
3M,555-555-5555,"East Pleasant, Knoxville, Marion, Iowa, 50138",-93.0654863,41.3203946,KNOXVILLE,IA
3M,555-555-5555,"East Austin Boulevard, Nevada, Vernon, Missouri, 64772",-94.3305389,37.8353611,NEVADA,MO
3M,555-555-5555,"North Minnesota Street, Brown, Minnesota, 56073",-94.4749773,44.3302542,NEW ULM,MN
3M,555-555-5555,"Lewis Hall, Peters Avenue, Sioux City, Woodbury, Iowa, 51106",-96.3595628,42.4746689,SIOUX CITY,IA
3M,555-555-5555,"West Russell Street, Sioux Falls, Minnehaha, South Dakota, 57104",-96.7497828,43.5613019,SIOUX FALLS,SD
3M,555-555-5555,"Three Missions Drive, El Paso, Texas, 79927",-106.2726,31.6558263,SOCORRO,TX
3M,555-555-5555,"East Meigs Street, C and K Mobile Home Park, Douglas, Nebraska, 68064",-96.33791,41.3066393,VALLEY,NE
3M,555-555-5555,"3M Drive, Wahpeton, Richland, North Dakota, 58075",-96.6195839,46.2871222,WAHPETON,ND
3M,555-555-5555,"Dayton Avenue, Ames, Story, Iowa, 50010",-93.5807938,42.0291812,WEBSTER CITY,IA
3M,555-555-5555,"Bopf Street, Wausau, Marathon, Wisconsin, 54401",-89.6400326,44.9466817,WISCONSIN RA,WI
3M BUILDING 427,555-555-5555,"11th Street, 3M Headquarters, Maplewood, Ramsey County, Minnesota, 55119",-92.9958675,44.9507162,SAINT PAUL,MN
3M MDC,555-555-5555,"Macom Drive, DeKalb, Illinois, 60115",-88.7333999,41.9122679,DE KALB,IL
3M TOURS,555-555-5555,"22nd Avenue South, Brookings, South Dakota, 57006",-96.7663422,44.2961874,BROOKINGS,SD
4 T'S MANAGEMENT,555-555-5555,"Aspen, Manteno, Kankakee County, Illinois, 60950",-87.8263408,41.2385513,MANTENO,IL
5-D TROPICAL,555-555-5555,"Bob Head Road, Antioch, Hillsborough County, Florida, 33565",-82.2129379,28.053669,PLANT CITY,FL
ADVANTAGE LOGISTICS,555-555-5555,"Lake Jeffery Road, Lacymark, Columbia County, Florida, 32055",-82.659897,30.2015285,LAKE CITY,FL
ALBERT LEA WAREHOUSE,555-555-5555,"Sibley Street, Albert Lea, Freeborn, Minnesota, 56007",-93.358686,43.6531035,ALBERT LEA,MN
ALDI INC,555-555-5555,"Maple Lawn Avenue, Faribault, Rice, Minnesota, 55021",-93.2983181,44.2826945,FARIBAULT,MN
ALLEN'S,555-555-5555,"East Railroad Street, Montezuma, Macon, Georgia, 31063",-84.025814,32.301997,MONTEZUMA,GA
AMERICOLD,555-555-5555,"Jetway Drive, Arlington, Shelby, Tennessee, 38002",-89.6752327,35.2841531,ARLINGTON,TN
AMERICOLD,555-555-5555,"East Polo Road, Grand Prairie, Dallas County, Texas, 75052",-97.002522,32.657652,GRAND PRAIRI,TX
AMERICOLD,555-555-5555,"Butler Street, Murfreesboro, Rutherford, Tennessee, 37127",-86.3886116,35.7997209,MURFREESBORO,TN
AMERICOLD,555-555-5555,"Sprankle Street Southwest, Navarre, Stark, Ohio, 44662",-81.5189956,40.730464,NAVARRE,OH
AMERICOLD CARTHAGE (CARMA,555-555-5555,"North Woods Street, Kendricktown, Jasper, Missouri, 64836",-94.329815,37.1957236,CARTHAGE,MO
AMERICOLD CORPORATION,555-555-5555,"Mill Road, East Fogelsville, Lehigh, Pennsylvania, 18106",-75.6140575,40.5887915,FOGELSVILLE,PA
AMERICOLD LOGISTICS,555-555-5555,"Cairo Street Northwest, Atlanta, Fulton County, Georgia, 30314",-84.420604,33.7677129,ATLANTA,GA
AMERICOLD LOGISTICS,555-555-5555,"North Woods Street, Kendricktown, Jasper, Missouri, 64836",-94.329815,37.1957236,CARTHAGE,MO
AMERICOLD LOGISTICS,555-555-5555,"Butler Street, Murfreesboro, Rutherford, Tennessee, 37127",-86.3886271,35.7995478,MURFREESBORO,TN
AMERICOLD LOGISTICS,555-555-5555,"South Airport Road, West Memphis, Crittenden County, Arkansas, 72301",-90.2301793,35.1364482,WEST MEMPHIS,AR
AMERICOLD TARBORO,555-555-5555,"Sara Lee Road, Tarboro, Edgecombe, North Carolina, 27886",-77.5723794,35.8712515,TARBORO,NC
ANDERSON DU-BOSE CO,555-555-5555,"Davis Industrial Parkway, Solon, Cuyahoga County, Ohio, 44139",-81.4518407,41.3804296,SOLON,OH
ANHEUSER BUSCH,555-555-5555,"Busch Drive Northeast, Habersham, Bartow, Georgia, 30121",-84.7844204,34.2549881,CARTERSVILLE,GA
ANHEUSER BUSCH,555-555-5555,"Francis Street East, Williamsburg, Williamsburg (city), Virginia, 23185",-76.6977572,37.2690301,WILLIAMSBURG,VA
APPLETON PAPERS,555-555-5555,"Richland Avenue, Kansas City, Wyandotte, Kansas, 66106",-94.6986234,39.0932751,KANSAS CITY,KS
APPLETON PAPERS INC,555-555-5555,"High Street, Carroll, Fairfield, Ohio, 43112",-82.7047005,39.7982959,WEST CARROLL,OH
ATLANTA BONDED WAREHOUSE,555-555-5555,"Cobb International Boulevard Northwest, Kennesaw, Cobb, Georgia, 30152",-84.6134284,34.0059488,KENNESAW,GA
ATLANTA BONDED WHSE,555-555-5555,"North Theobald Street, Greenville, Washington, Mississippi, 38701",-91.0331432,33.4304416,GREENVILLE,MS
ATLANTA BONDED WHSE #495,555-555-5555,"Cobb International Boulevard Northwest, Kennesaw, Cobb, Georgia, 30152",-84.6134284,34.0059488,KENNESAW,GA
ATLANTA MARKET PLACE DC,555-555-5555,"Park Avenue, Union City, Fulton County, Georgia, 30291",-84.5590896,33.5857488,UNION CITY,GA
BAKER STORAGE,555-555-5555,"Daniel Street, Billings, Yellowstone, Montana, 59101",-108.5544336,45.7579121,BILLINGS,MT
BALDWIN RICHARDSON FOODS,555-555-5555,"NY 104, York, Huron Town, Wayne, New York, 14413",-77.148099,43.2357696,WILLIAMSON,NY
